id_rule,id_penyakit,id_gejala,bobot_cf
R001,P001,G001,1.0
R002,P001,G002,0.8
R003,P001,G003,1.0
R004,P001,G004,1.0
R005,P002,G011,1.0
R006,P002,G039,0.8
R007,P002,G020,0.6
R008,P003,G011,0.6
R009,P003,G013,1.0
R010,P003,G031,0.6
R011,P003,G037,0.8
R012,P003,G038,0.8
R013,P004,G011,0.8
R014,P004,G013,1.0
R015,P004,G015,1.0
R016,P004,G048,1.0
R017,P005,G021,1.0
R018,P005,G022,0.8
R019,P006,G021,1.0
R020,P006,G025,0.8
R021,P006,G026,0.8
R022,P007,G021,1.0
R023,P007,G025,0.8
R024,P007,G027,1.0
R025,P007,G010,0.8
R026,P007,G049,0.8
R027,P008,G021,1.0
R028,P008,G022,0.8
R029,P008,G006,0.6
R030,P009,G021,0.8
R031,P009,G028,1.0
R032,P010,G031,1.0
R033,P010,G035,0.6
R034,P011,G031,0.8
R035,P011,G037,1.0
R036,P011,G039,0.8
R037,P011,G041,0.6
R038,P012,G031,0.8
R039,P012,G037,1.0
R040,P012,G043,1.0
R041,P012,G044,1.0
R042,P013,G032,1.0
R043,P013,G046,0.8
R044,P013,G047,0.8
R045,P013,G049,0.8
R046,P013,G050,0.8
R047,P014,G031,0.8
R048,P014,G035,0.6
R049,P015,G011,0.8
R050,P015,G012,0.8
R051,P015,G013,0.8
R052,P015,G037,1.0
R053,P016,G037,1.0
R054,P016,G047,1.0
R055,P016,G048,0.8
R056,P017,G025,1.0
R057,P017,G026,0.8
R058,P017,G027,0.8
R059,P017,G049,0.8
R060,P018,G044,1.0
R061,P018,G008,0.6
R062,P018,G031,0.6
R063,P019,G045,1.0
R064,P019,G046,1.0
R065,P019,G031,0.8
R066,P020,G042,1.0
R067,P020,G043,0.8
R068,P020,G040,0.6
R069,P020,G041,0.6
