id_rule,kondisi_if,id_penyakit
R01,G001 OR G002 OR G003 OR G004,P001
R02,G011 AND G020,P002
R03,G011 AND G039,P002
R04,G011 AND G013,P003
R05,G011 AND G013 AND G031,P003
R06,G011 AND G013 AND G038,P003
R07,G011 AND G013 AND G015,P004
R08,G011 AND G013 AND G015 AND G048,P004
R09,G021 AND G022,P005
R10,G021 AND G025 AND G026,P006
R11,G021 AND G025,P006
R12,G021 AND G025 AND G027,P007
R13,G021 AND G025 AND G027 AND G049,P007
R14,G021 AND G022 AND G006,P008
R15,G021 AND G028,P009
R16,G031,P010
R17,G031 AND G035,P010
R18,G031 AND G037,P011
R19,G031 AND G037 AND G039,P011
R20,G031 AND G037 AND G041,P011
R21,G031 AND G037 AND G043,P012
R22,G031 AND G037 AND G044,P012
R23,G032 AND G046,P013
R24,G032 AND G046 AND G047,P013
R25,G032 AND G046 AND G047 AND G049,P013
R26,G032 AND G046 AND G047 AND G049 AND G050,P013
R27,G031 AND G035,P014
R28,G011 AND G012 AND G037,P015
R29,G011 AND G012,P015
R30,G011 AND G013 AND G037,P015
R31,G037 AND G047,P016
R32,G037 AND G047 AND G048,P016
R33,G025 AND G026,P017
R34,G025 AND G026 AND G027,P017
R35,G025 AND G026 AND G027 AND G049,P017
R36,G044 AND G031,P018
R37,G044 AND G008,P018
R38,G045 AND G046,P019
R39,G045 AND G046 AND G031,P019
R40,G042 AND G043,P020
R41,G042 AND G040,P020
R42,G042 AND G040 AND G041,P020
